,strain,gene,genotype,growth_rate
1,seg_01B,gene_1,Lab strain,6.72044718438651
2,seg_01B,gene_14,Lab strain,6.72044718438651
3,seg_01B,gene_27,Lab strain,6.72044718438651
4,seg_01B,gene_40,Lab strain,6.72044718438651
5,seg_01B,gene_54,Lab strain,6.72044718438651
6,seg_01B,gene_67,Lab strain,6.72044718438651
7,seg_01B,gene_80,Lab strain,6.72044718438651
8,seg_01B,gene_94,Lab strain,6.72044718438651
9,seg_01B,gene_107,Lab strain,6.72044718438651
10,seg_01B,gene_120,Lab strain,6.72044718438651
11,seg_01B,gene_134,Lab strain,6.72044718438651
12,seg_01B,gene_147,Wild isolate,6.72044718438651
13,seg_01B,gene_160,Wild isolate,6.72044718438651
14,seg_01B,gene_174,Wild isolate,6.72044718438651
15,seg_01B,gene_187,Wild isolate,6.72044718438651
16,seg_01B,gene_200,Wild isolate,6.72044718438651
17,seg_01B,gene_214,Lab strain,6.72044718438651
18,seg_01B,gene_227,Lab strain,6.72044718438651
19,seg_01B,gene_240,Lab strain,6.72044718438651
20,seg_01B,gene_254,Lab strain,6.72044718438651
21,seg_01B,gene_267,Lab strain,6.72044718438651
22,seg_01B,gene_280,Lab strain,6.72044718438651
23,seg_01B,gene_294,Lab strain,6.72044718438651
24,seg_01B,gene_307,Lab strain,6.72044718438651
25,seg_01B,gene_320,Lab strain,6.72044718438651
26,seg_01B,gene_334,Lab strain,6.72044718438651
27,seg_01B,gene_347,Lab strain,6.72044718438651
28,seg_01B,gene_360,Lab strain,6.72044718438651
29,seg_01B,gene_374,Lab strain,6.72044718438651
30,seg_01B,gene_387,Lab strain,6.72044718438651
31,seg_01B,gene_400,Lab strain,6.72044718438651
32,seg_01B,gene_414,Lab strain,6.72044718438651
33,seg_01B,gene_427,Lab strain,6.72044718438651
34,seg_01B,gene_440,Lab strain,6.72044718438651
35,seg_01B,gene_454,Lab strain,6.72044718438651
36,seg_01B,gene_467,Lab strain,6.72044718438651
37,seg_01B,gene_480,Lab strain,6.72044718438651
38,seg_01B,gene_494,Lab strain,6.72044718438651
39,seg_01B,gene_507,Lab strain,6.72044718438651
40,seg_01B,gene_520,Lab strain,6.72044718438651
41,seg_01B,gene_534,Lab strain,6.72044718438651
42,seg_01B,gene_547,Lab strain,6.72044718438651
43,seg_01B,gene_560,Wild isolate,6.72044718438651
44,seg_01B,gene_574,Wild isolate,6.72044718438651
45,seg_01B,gene_587,Wild isolate,6.72044718438651
46,seg_01B,gene_600,Wild isolate,6.72044718438651
47,seg_01B,gene_614,Wild isolate,6.72044718438651
48,seg_01B,gene_627,Wild isolate,6.72044718438651
49,seg_01B,gene_640,Wild isolate,6.72044718438651
50,seg_01B,gene_653,Wild isolate,6.72044718438651
51,seg_01B,gene_667,Wild isolate,6.72044718438651
52,seg_01B,gene_680,Wild isolate,6.72044718438651
53,seg_01B,gene_693,Wild isolate,6.72044718438651
54,seg_01B,gene_707,Wild isolate,6.72044718438651
55,seg_01B,gene_720,Wild isolate,6.72044718438651
56,seg_01B,gene_733,Wild isolate,6.72044718438651
57,seg_01B,gene_747,Wild isolate,6.72044718438651
58,seg_01B,gene_760,Wild isolate,6.72044718438651
59,seg_01B,gene_773,Wild isolate,6.72044718438651
60,seg_01B,gene_787,Wild isolate,6.72044718438651
61,seg_01B,gene_800,Wild isolate,6.72044718438651
62,seg_01B,gene_813,Wild isolate,6.72044718438651
63,seg_01B,gene_827,Wild isolate,6.72044718438651
64,seg_01B,gene_840,Wild isolate,6.72044718438651
65,seg_01B,gene_853,Wild isolate,6.72044718438651
66,seg_01B,gene_867,Wild isolate,6.72044718438651
67,seg_01B,gene_880,Wild isolate,6.72044718438651
68,seg_01B,gene_893,Wild isolate,6.72044718438651
69,seg_01B,gene_907,Wild isolate,6.72044718438651
70,seg_01B,gene_920,Wild isolate,6.72044718438651
71,seg_01B,gene_933,Wild isolate,6.72044718438651
