MYC	SRM	GBE1	FUK	UGP2	PRDX6	ATP6V1A	BCAT1	GLUD1	ATP6V1B2	GGPS1	POLD1	CAD	ALOX5	ASNS	PYCRL	PLCG2	GANAB	SEPHS1	GLUD2
DOHH2	-0.495015420354997	0.209073269080176	-0.436672592527608	100	100	-0.208583397687973	-0.051411159074013	0.197500367508285	-1.5885106915337	0.606413754577853	1.01573319299705	0.431620683259986	1.08676591663457	0.235468597022082	-0.338654742263505	0.377148909214193	-0.541951477315855	0.119991126167238	-0.792205528877533	-0.753163557274217
FARAGE	-0.491362961203194	-0.355908735553657	0.532207604825338	0.103753837176337	-0.649489567243688	0.853678405494964	0.582782851901772	1.11646669663576	1.35006149550716	0.0502702553241098	-0.73758304384985	-1.62939408148475	0.160080505116071	0.248119321209429	-0.0736319412983913	-0.586917804687044	0.232701205437313	-0.470425010370421	-1.03168733355236	-0.139833781439026
HT	-0.45599352741463	-0.238524931788181	0.671424065548774	-1.01363576783182	-0.965129115758228	-0.480403712904249	-0.923247433107139	-1.12461741346494	-0.319749849281579	0.580137991993379	-0.125961100763722	-0.457666712030137	-0.25164939991811	-1.36305893794564	-0.929328847976163	0.298542768718571	-0.101672143680061	-0.197599962606282	0.881219984636222	-0.493418709176364
Kapas231	1.61526661017367	0.926662967169126	1.0168146869194	-0.9978957917766	1.00648445861312	1.12171767476591	2.622679903753	-0.139735698426228	1.08274703568008	0.60947941791144	-1.72310629488882	-0.0660132899117516	-1.58086684638127	1.89248879874686	0.786432849727478	-0.346330694337985	1.04238914857589	1.0626368164231	-1.52577235543844	2.02482100777137
OCI-LY1	0.494273293842469	2.40062582338562	-1.42551658513927	1.06760665154782	0.986217833782959	1.03953986886626	-1.83151711653646	-2.25151759199947	-0.901666446532627	-1.76021210548383	1.22516556883472	3.02964025869661	0.583410199285417	1.7020374158648	1.89952861378096	3.81404143500312	1.97579225338701	1.43768932967717	1.02588495620044	-2.13748567359953
OCI-LY1-B50	0.194077717708213	-0.0494138717438003	-0.481095482667825	0.242318908805947	0.704696996101192	-0.928752763451141	1.41598114718034	-2.26352709183343	0.520626358364195	-1.13474109004123	1.11814661735217	-0.150894029811045	-0.312790192307687	1.22334511379953	0.270387168019466	0.824083171624459	0.775177053741939	0.311966154017729	-1.05715446379971	0.0947976144946705
OCI-LY7	-0.176661429552505	-0.27997670262599	-0.819456897316982	-0.231011073748181	-0.376558313164337	-0.596887594210331	0.262810881695072	0.198560163119207	-0.484932197593043	-0.267678772449059	-0.00482779674841732	-0.176920569486405	0.283306920609864	0.22480022710802	-0.356557395513631	0.435097166784525	-0.395861637135844	-0.502773996683456	0.810022253225416	-0.465029589338621
OCI-LY8	-0.39224793486877	0.113555397458268	0.899215952447972	-0.747636058338871	0.11396036502386	0.124923298816908	0.134894290035823	0.439985504375479	0.558085616695843	0.321609846118121	0.300605998004038	0.108580338977536	0.665883675521218	0.400492982425475	-1.1732723525289	0.732686519504534	-0.393783589644855	-0.536487691827905	0.903299062546404	0.350362086704329
OCI-LY19	2.17676468205438	0.29559105960473	3.76792745393959	-0.825126243545195	0.393131048393806	1.44443455723167	-1.36475434683044	1.55889560422128	0.946539980013764	-0.268095097099299	-1.68030665485982	0.802363453085515	-1.14720093186381	-0.388553400741494	2.13944458861012	-1.19592956911395	0.451659176592423	1.91486156825027	0.491188696443144	1.75060082823977
OZ	0.495307949506631	-0.00377372780722362	0.445047561903446	-0.576757723526422	0.542591646334132	0.339640598195382	-1.73779068825963	0.744536953524058	-0.247844763053379	-1.29604796816155	0.427436656698529	-0.062892168701921	0.560939165180591	0.243820916360189	-1.11593394345023	0.218063904256824	0.239797582540873	-0.305169544903387	0.581644830612611	0.249658703367808
