cigarette_packs_per_day,datavizitis_deaths_per_thousand,coffee_cups_per_day
0,5.559936384046622,1-5
2,16.117005949576697,5+
1,10.183569323200478,5+
1,8.134044288799466,5+
0,5.711943985386401,1-5
0,4.761250531233856,0
0,4.130722860753797,1-5
2,15.643388467342252,1-5
1,7.72376476710168,1-5
1,9.908652811480671,1-5
0,3.470628491817928,0
2,14.147329714156466,1-5
2,13.97764081378211,5+
0,5.612688374989926,0
0,3.8707366063072115,0
0,6.0337277099165,0
0,3.964198536947702,0
1,7.792642042407053,0
1,8.383475560051341,1-5
0,5.735811620006938,0
1,9.344101822063333,1-5
0,3.951712703509399,1-5
0,4.660018225852788,1-5
0,5.001782736167545,0
1,10.617398815902462,1-5
2,16.948499229892928,1-5
0,4.140231354210914,1-5
1,8.173952313917962,0
1,9.086534838876723,0
0,4.760280506582886,1-5
1,8.53624107378939,1-5
0,3.542849085104957,0
0,4.843787881549885,0
2,15.451347648429548,5+
2,15.532796995411587,5+
2,14.74150466529993,5+
0,4.269599285794233,0
0,3.5757668557316955,0
1,10.390198411124787,5+
1,10.535249334723753,5+
0,2.653812137761906,0
1,8.57048913980759,5+
0,3.003470744909921,0
2,14.849976065593102,1-5
0,4.416562030209639,0
1,8.05035478030147,1-5
0,3.5781401868746867,1-5
1,8.496042627918502,0
1,9.707267329398944,1-5
0,4.5693443370362505,1-5
2,14.778262446662747,5+
2,15.676820872139398,1-5
2,14.953319915412735,1-5
2,15.228344889673947,5+
1,11.173452090298538,0
2,16.84046105179035,5+
0,3.2004187630724026,1-5
0,5.329732417879175,0
0,5.311396554491592,0
0,3.3517367112473817,0
0,5.318777643754861,1-5
0,6.037931918412553,0
2,14.377455193755587,5+
0,3.5824971789857365,0
0,5.517661466843503,0
1,9.771495310825648,0
0,5.051476275239523,0
2,15.840589216400497,5+
0,4.890695920928144,1-5
2,14.173527871688917,5+
2,16.54731770662145,0
0,5.669589992427774,0
0,4.270609255931972,0
2,15.456523050186137,1-5
1,7.968892497444278,5+
1,10.014254756017834,1-5
2,16.072057441714144,1-5
0,4.437808983000689,1-5
0,5.6243533598705024,5+
0,4.165922769020059,0
2,16.064605925893602,5+
1,8.480335661307885,1-5
0,4.476447849125762,0
0,4.325645742097164,0
0,4.725307922040941,0
0,4.130473071166642,5+
1,9.368527404328333,1-5
1,10.326047171441505,0
2,15.063235762761783,5+
1,7.893422899261321,1-5
0,6.249583904205421,1-5
1,10.881454078690487,1-5
2,14.207737304894382,1-5
1,10.189707805245195,0
2,14.997025229448656,5+
1,9.76348721533106,1-5
1,9.794224129013493,1-5
1,9.265592199683677,1-5
0,3.7162343344136035,0
0,3.8094589476837406,0
0,3.5838080845187577,1-5
1,8.668177791769555,5+
0,4.432821709950645,0
1,8.784240010889249,1-5
2,16.182052065712618,1-5
0,5.987246155335927,0
1,8.919946758629957,1-5
2,15.739404500535377,5+
0,4.999685110302934,1-5
0,4.972002270919274,0
0,4.575955267916087,0
