,id,chrom,start,end
0,gene_1,chr01,1512,2366
1,gene_14,chr01,29161,29333
2,gene_27,chr01,38275,38317
3,gene_40,chr01,47695,47695
4,gene_54,chr01,56059,56059
5,gene_67,chr01,61507,61645
6,gene_80,chr01,68448,68448
7,gene_94,chr01,71737,71746
8,gene_107,chr01,80562,80562
9,gene_120,chr01,86129,86236
10,gene_134,chr01,104485,104660
11,gene_147,chr01,111944,112996
12,gene_160,chr01,117313,117313
13,gene_174,chr01,160401,160656
14,gene_187,chr01,178464,188945
15,gene_200,chr01,197584,197933
16,gene_214,chr02,10779,10779
17,gene_227,chr02,21921,21921
18,gene_240,chr02,36520,36520
19,gene_254,chr02,44220,44271
20,gene_267,chr02,59338,59365
21,gene_280,chr02,67191,67549
22,gene_294,chr02,72226,72355
23,gene_307,chr02,83666,83936
24,gene_320,chr02,90507,90582
25,gene_334,chr02,104871,104871
26,gene_347,chr02,123246,123341
27,gene_360,chr02,128496,128496
28,gene_374,chr02,138800,139106
29,gene_387,chr02,146584,146971
30,gene_400,chr02,158988,159084
31,gene_414,chr02,169774,170111
32,gene_427,chr02,180383,180920
33,gene_440,chr02,191196,192604
34,gene_454,chr02,202617,202617
35,gene_467,chr02,217284,217284
36,gene_480,chr02,234928,235180
37,gene_494,chr02,245106,245436
38,gene_507,chr02,252120,252120
39,gene_520,chr02,257256,257761
40,gene_534,chr02,267929,267929
41,gene_547,chr02,289006,289053
42,gene_560,chr02,299860,300151
43,gene_574,chr02,317875,317875
44,gene_587,chr02,328328,330010
45,gene_600,chr02,339019,339027
46,gene_614,chr02,351699,351699
47,gene_627,chr02,365511,365717
48,gene_640,chr02,375900,375900
49,gene_653,chr02,389863,389899
50,gene_667,chr02,415196,415730
51,gene_680,chr02,459275,460105
52,gene_693,chr02,472778,473445
53,gene_707,chr02,483381,483831
54,gene_720,chr02,494158,494158
55,gene_733,chr02,501538,501538
56,gene_747,chr02,507846,508786
57,gene_760,chr02,519446,521724
58,gene_773,chr02,533161,533618
59,gene_787,chr02,542344,542344
60,gene_800,chr02,549019,549962
61,gene_813,chr02,554344,555891
62,gene_827,chr02,563551,563551
63,gene_840,chr02,569989,569989
64,gene_853,chr02,575736,575736
65,gene_867,chr02,585804,586174
66,gene_880,chr02,593086,593527
67,gene_893,chr02,602186,602197
68,gene_907,chr02,609230,609379
69,gene_920,chr02,615689,616481
70,gene_933,chr02,625764,625764
71,gene_947,chr02,632192,632192
72,gene_960,chr02,637940,638051
73,gene_973,chr02,649194,649876
74,gene_987,chr02,659382,659382
75,gene_1000,chr02,669646,669646
76,gene_1013,chr02,678296,678713
77,gene_1027,chr02,691673,691673
78,gene_1040,chr02,706932,707024
79,gene_1053,chr02,720441,720441
80,gene_1067,chr02,732103,732103
81,gene_1080,chr02,745755,745755
82,gene_1093,chr02,752287,752287
83,gene_1107,chr02,763001,764870
84,gene_1120,chr02,791548,792304
85,gene_1133,chr02,809212,814116
86,gene_1147,chr03,49786,49786
87,gene_1160,chr03,59124,59124
88,gene_1173,chr03,65957,65957
89,gene_1187,chr03,74229,74373
90,gene_1200,chr03,82656,82665
91,gene_1213,chr03,96031,96151
92,gene_1227,chr03,106923,106923
93,gene_1240,chr03,114131,114131
94,gene_1253,chr03,117583,117583
95,gene_1267,chr03,125110,125110
96,gene_1280,chr03,150307,151558
97,gene_1293,chr03,169652,169994
98,gene_1306,chr03,193955,194503
99,gene_1320,chr03,203935,204052
100,gene_1333,chr03,207932,207932
101,gene_1346,chr03,211439,211439
102,gene_1360,chr03,217228,217228
103,gene_1373,chr03,236013,236992
104,gene_1386,chr03,243265,243265
105,gene_1400,chr03,253736,254051
106,gene_1413,chr03,264684,264831
107,gene_1426,chr03,276316,276316
108,gene_1440,chr03,298707,299774
109,gene_1453,chr04,8333,16078
110,gene_1466,chr04,19372,19374
111,gene_1480,chr04,22530,22530
112,gene_1493,chr04,27285,27650
113,gene_1506,chr04,32268,33187
114,gene_1520,chr04,43444,43537
115,gene_1533,chr04,54230,55109
116,gene_1546,chr04,63990,64075
117,gene_1560,chr04,67820,69122
118,gene_1573,chr04,87751,88760
119,gene_1586,chr04,109905,114849
120,gene_1600,chr04,141992,143228
121,gene_1613,chr04,159230,159450
122,gene_1626,chr04,168613,169888
123,gene_1640,chr04,177027,177297
124,gene_1653,chr04,188149,188149
125,gene_1666,chr04,202348,202348
126,gene_1680,chr04,213339,213339
127,gene_1693,chr04,218724,218724
128,gene_1706,chr04,227584,227689
129,gene_1720,chr04,233631,233725
130,gene_1733,chr04,238580,238706
131,gene_1746,chr04,249485,249485
132,gene_1760,chr04,264375,264444
133,gene_1773,chr04,272521,273073
134,gene_1786,chr04,286597,287408
135,gene_1800,chr04,301905,303028
136,gene_1813,chr04,310566,310975
137,gene_1826,chr04,332103,332436
138,gene_1840,chr04,341331,341659
139,gene_1853,chr04,351862,352102
140,gene_1866,chr04,368154,368154
141,gene_1880,chr04,373875,374306
142,gene_1893,chr04,383064,383064
143,gene_1906,chr04,391606,392779
144,gene_1919,chr04,408397,408406
145,gene_1933,chr04,415202,415202
146,gene_1946,chr04,422716,424148
147,gene_1959,chr04,430673,431378
148,gene_1973,chr04,436458,437894
149,gene_1986,chr04,446133,446159
150,gene_1999,chr04,458046,461871
151,gene_2013,chr04,506026,506026
152,gene_2026,chr04,524369,524522
153,gene_2039,chr04,530068,530279
154,gene_2053,chr04,554607,554607
155,gene_2066,chr04,563958,565385
156,gene_2079,chr04,581414,581414
157,gene_2093,chr04,592659,592659
158,gene_2106,chr04,600970,602297
159,gene_2119,chr04,622128,622564
160,gene_2133,chr04,637915,638071
161,gene_2146,chr04,646924,647327
162,gene_2159,chr04,659305,660322
163,gene_2173,chr04,674164,674204
164,gene_2186,chr04,682794,682909
165,gene_2199,chr04,688504,689011
166,gene_2213,chr04,695631,695631
167,gene_2226,chr04,701209,701401
168,gene_2239,chr04,712241,712245
169,gene_2253,chr04,723650,725359
170,gene_2266,chr04,741026,741690
171,gene_2279,chr04,760460,764473
172,gene_2293,chr04,778280,778332
173,gene_2306,chr04,783750,784724
174,gene_2319,chr04,795082,795248
175,gene_2333,chr04,807602,807638
176,gene_2346,chr04,817265,817454
177,gene_2359,chr04,826430,826430
178,gene_2373,chr04,837492,837492
179,gene_2386,chr04,841827,842070
180,gene_2399,chr04,847251,848380
